DroneID, DroneX, DroneY, Faulty, TargetX, TargetY, CanFindTarget, FoundTarget, Cycle, TrialNumber
0,1002,391,false,938,477,false,false,0,1
1,782,607,false,938,477,false,false,0,1
2,1365,34,false,938,477,false,false,0,1
3,1341,127,true,938,477,false,false,0,1
4,968,418,false,938,477,false,false,0,1
5,2,249,false,938,477,false,false,0,1
6,254,417,false,938,477,false,false,0,1
7,381,503,false,938,477,false,false,0,1
8,1089,658,false,938,477,false,false,0,1
9,956,596,true,938,477,false,false,0,1
10,1016,692,false,938,477,false,false,0,1
11,1322,66,false,938,477,false,false,0,1
12,1177,554,true,938,477,false,false,0,1
13,746,491,false,938,477,false,false,0,1
14,854,294,false,938,477,false,false,0,1
15,209,482,true,938,477,false,false,0,1
16,954,669,false,938,477,false,false,0,1
17,419,197,false,938,477,false,false,0,1
18,1104,73,false,938,477,false,false,0,1
19,243,72,false,938,477,false,false,0,1
20,1061,493,false,938,477,false,false,0,1
21,847,169,false,938,477,false,false,0,1
22,895,438,false,938,477,false,false,0,1
23,636,291,false,938,477,false,false,0,1
24,916,6,false,938,477,false,false,0,1
25,299,255,false,938,477,false,false,0,1
26,942,172,false,938,477,false,false,0,1
27,1359,529,false,938,477,false,false,0,1
28,509,422,false,938,477,false,false,0,1
29,741,588,false,938,477,false,false,0,1
30,376,456,false,938,477,false,false,0,1
31,698,433,false,938,477,false,false,0,1
32,653,425,false,938,477,false,false,0,1
33,402,317,false,938,477,false,false,0,1
34,34,521,false,938,477,false,false,0,1
35,952,541,false,938,477,false,false,0,1
36,531,163,false,938,477,false,false,0,1
37,951,606,false,938,477,false,false,0,1
38,1187,690,false,938,477,false,false,0,1
39,939,482,false,938,477,false,false,0,1
40,903,731,false,938,477,false,false,0,1
41,960,387,false,938,477,false,false,0,1
42,970,654,false,938,477,false,false,0,1
43,883,529,false,938,477,false,false,0,1
44,857,417,false,938,477,false,false,0,1
45,294,215,false,938,477,false,false,0,1
46,235,260,false,938,477,false,false,0,1
47,491,429,true,938,477,false,false,0,1
48,1398,440,false,938,477,false,false,0,1
49,1161,330,false,938,477,false,false,0,1
50,1277,219,false,938,477,false,false,0,1
51,795,623,false,938,477,false,false,0,1
52,510,596,false,938,477,false,false,0,1
53,1122,214,false,938,477,false,false,0,1
54,1178,291,false,938,477,false,false,0,1
55,84,326,false,938,477,false,false,0,1
56,1459,387,false,938,477,false,false,0,1
57,950,526,false,938,477,false,false,0,1
58,1252,750,false,938,477,false,false,0,1
59,1248,581,true,938,477,false,false,0,1
60,448,179,false,938,477,false,false,0,1
61,1186,63,false,938,477,false,false,0,1
62,713,562,false,938,477,false,false,0,1
63,1163,290,false,938,477,false,false,0,1
0,1002,391,false,938,477,false,false,10,1
1,782,607,false,938,477,false,false,10,1
2,1365,34,false,938,477,false,false,10,1
3,1341,127,true,938,477,false,false,10,1
4,968,418,false,938,477,false,false,10,1
5,2,249,false,938,477,false,false,10,1
6,254,417,false,938,477,false,false,10,1
7,381,503,false,938,477,false,false,10,1
8,1089,658,false,938,477,false,false,10,1
9,956,596,true,938,477,false,false,10,1
10,1016,692,false,938,477,false,false,10,1
11,1322,66,false,938,477,false,false,10,1
12,1177,554,true,938,477,false,false,10,1
13,746,491,false,938,477,false,false,10,1
14,854,294,false,938,477,false,false,10,1
15,209,482,true,938,477,false,false,10,1
16,954,669,false,938,477,false,false,10,1
17,419,197,false,938,477,false,false,10,1
18,1104,73,false,938,477,false,false,10,1
19,243,72,false,938,477,false,false,10,1
20,1061,493,false,938,477,false,false,10,1
21,847,169,false,938,477,false,false,10,1
22,895,438,false,938,477,false,false,10,1
23,636,291,false,938,477,false,false,10,1
24,916,6,false,938,477,false,false,10,1
25,299,255,false,938,477,false,false,10,1
26,942,172,false,938,477,false,false,10,1
27,1359,529,false,938,477,false,false,10,1
28,509,422,false,938,477,false,false,10,1
29,741,588,false,938,477,false,false,10,1
30,376,456,false,938,477,false,false,10,1
31,698,433,false,938,477,false,false,10,1
32,653,425,false,938,477,false,false,10,1
33,402,317,false,938,477,false,false,10,1
34,34,521,false,938,477,false,false,10,1
35,952,541,false,938,477,false,false,10,1
36,531,163,false,938,477,false,false,10,1
37,951,606,false,938,477,false,false,10,1
38,1187,690,false,938,477,false,false,10,1
39,939,482,false,938,477,false,false,10,1
40,903,731,false,938,477,false,false,10,1
41,960,387,false,938,477,false,false,10,1
42,970,654,false,938,477,false,false,10,1
43,883,529,false,938,477,false,false,10,1
44,857,417,false,938,477,false,false,10,1
45,294,215,false,938,477,false,false,10,1
46,235,260,false,938,477,false,false,10,1
47,491,429,true,938,477,false,false,10,1
48,1398,440,false,938,477,false,false,10,1
49,1161,330,false,938,477,false,false,10,1
50,1277,219,false,938,477,false,false,10,1
51,795,623,false,938,477,false,false,10,1
52,510,596,false,938,477,false,false,10,1
53,1122,214,false,938,477,false,false,10,1
54,1178,291,false,938,477,false,false,10,1
55,84,326,false,938,477,false,false,10,1
56,1459,387,false,938,477,false,false,10,1
57,950,526,false,938,477,false,false,10,1
58,1252,750,false,938,477,false,false,10,1
59,1248,581,true,938,477,false,false,10,1
60,448,179,false,938,477,false,false,10,1
61,1186,63,false,938,477,false,false,10,1
62,713,562,false,938,477,false,false,10,1
63,1163,290,false,938,477,false,false,10,1
0,1002,391,false,938,477,false,false,20,1
1,782,607,false,938,477,false,false,20,1
2,1365,34,false,938,477,false,false,20,1
3,1341,127,true,938,477,false,false,20,1
4,968,418,false,938,477,false,false,20,1
5,2,249,false,938,477,false,false,20,1
6,254,417,false,938,477,false,false,20,1
7,381,503,false,938,477,false,false,20,1
8,1089,658,false,938,477,false,false,20,1
9,956,596,true,938,477,false,false,20,1
10,1016,692,false,938,477,false,false,20,1
11,1322,66,false,938,477,false,false,20,1
12,1177,554,true,938,477,false,false,20,1
13,746,491,false,938,477,false,false,20,1
14,854,294,false,938,477,false,false,20,1
